0,SansAnimation,,,,,,,,
0,sanshead,ClosedEyes,,,,,,,
0,SansText,ready?,,,,,,,
0,BlackScreen,1,,,,,,,
0,sanshead,Default,,,,,,,
0,HeartTeleport,320,308,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,238,226,403,391,,,,
0,SansSlam,1,,,,,,,
0,SansBody,HandDown,,,,,,,
0,BoneStab,1,30,9,9,,,,
0.6,SansTorso,Default,,,,,,,
0,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,398,356,30,2,200,,,
0.4,sanshead,LookLeft,,,,,,,
0,HeartMode,0,,,,,,,
0,sound,ding,,,,,,,
0,BoneV,233,231,30,0,150,,,
0,BoneV,233,301,85,0,150,,,
0.4,GasterBlaster,1,0,361,188,361,0,0.4,0.2
0.4,GasterBlaster,2,640,266,453,266,180,0.6,0.4
1.5,sanshead,Wink,,,,,,,
0,SansText,here we go.,,,,,,,
0,EndAttack,,,,,,,,
